strengthDefinition,target,quintile,signalCount,reachedCount,hitRatePct,strengthMin,strengthMedian,strengthMax,timeMeanMinutes,timeMedianMinutes,timeP75Minutes,timeP80Minutes,timeP90Minutes,deadline60mHitRatePct,deadline120mHitRatePct,deadline360mHitRatePct,deadline720mHitRatePct,deadline1440mHitRatePct,deadline2160mHitRatePct,deadline2880mHitRatePct
slopeStrength,1pct,1,23151,14593,63.03399421191309,2.2647882587960743e-9,0.0000059896558234249284,0.000013622416433478132,926.3202905502638,696,1492,1743,2206,4.686622608094683,9.023368321022849,21.57574186860179,32.24914690510129,46.568182799879054,56.12716513325559,63.03399421191309
slopeStrength,2pct,1,23151,9747,42.10185305170403,2.2647882587960743e-9,0.0000059896558234249284,0.000013622416433478132,1196.8840668923772,1028,1925.5,2109.8,2461,0.9070882467280031,2.4404993304824845,8.729644507796639,15.878363785581618,26.39194851194333,34.21882424085353,42.10185305170403
slopeStrength,4pct,1,23151,5424,23.42879357263185,2.2647882587960743e-9,0.0000059896558234249284,0.000013622416433478132,1374.4105825958702,1314.5,2040.25,2188.4000000000005,2524.3999999999996,0.16845924582091487,0.5010582696211826,2.6046391084618374,5.9781434927216965,12.746749600449226,18.526197572459076,23.42879357263185
slopeStrength,1pct,2,23151,16702,72.14375188976719,0.000013623360885287913,0.000022732607886151374,0.00003439481704268613,686.5106574062986,401,1032,1222,1861.8999999999996,8.219947302492333,15.342749773227936,34.231782644378214,46.987171180510565,60.6280506241631,67.78972830547276,72.14375188976719
slopeStrength,2pct,2,23151,12339,53.29791369703253,0.000013623360885287913,0.000022732607886151374,0.00003439481704268613,1025.5255693330091,820,1630,1822.2000000000044,2297.2000000000007,1.6975508617338344,4.263314759621615,14.725065871884585,24.715994989417304,37.51457820396527,46.27877845449441,53.29791369703253
slopeStrength,4pct,2,23151,7473,32.27938317999223,0.000013623360885287913,0.000022732607886151374,0.00003439481704268613,1282.5633614344974,1192,1922,2124,2478.6000000000004,0.30236274890933434,0.9934776035592415,4.630469526154378,10.176666234719882,19.079089456179,26.163016716340547,32.27938317999223
slopeStrength,1pct,3,23150,17819,76.9719222462203,0.00003439488982821598,0.00004950648407524072,0.00006950904876899935,523.8452775127673,252,688,887,1512.2000000000007,13.360691144708422,23.22246220302376,45.88768898488121,58.501079913606915,68.65226781857451,73.97840172786178,76.9719222462203
slopeStrength,2pct,3,23150,13870,59.91360691144708,0.00003439488982821598,0.00004950648407524072,0.00006950904876899935,874.8643835616439,593,1362.75,1580,2151,2.691144708423326,6.596112311015119,21.123110151187905,33.477321814254864,46.025917926565874,54.00863930885529,59.91360691144708
slopeStrength,4pct,3,23150,9019,38.95896328293736,0.00003439488982821598,0.00004950648407524072,0.00006950904876899935,1175.6897660494512,1009,1802.5,1996.4000000000005,2432.2,0.4449244060475162,1.4384449244060475,6.76889848812095,14.319654427645789,25.377969762419006,32.64794816414687,38.95896328293736
slopeStrength,1pct,4,23151,19281,83.28365945315537,0.00006950970909643214,0.00009699121627267889,0.00014064388465389663,410.12494165240395,169,471,599,1252,21.433199429830243,34.400241890199126,57.850632802038795,69.6341410738197,76.35523303529006,80.5019221631895,83.28365945315537
slopeStrength,2pct,4,23151,15659,67.6385469310181,0.00006950970909643214,0.00009699121627267889,0.00014064388465389663,751.405006705409,457,1109.5,1368.4000000000015,2018,4.639108461837502,10.543821001252645,28.94043453846486,43.16444214072826,55.06025657638979,62.312643082372254,67.6385469310181
slopeStrength,4pct,4,23151,10748,46.42564036110751,0.00006950970909643214,0.00009699121627267889,0.00014064388465389663,1076.6638444361743,881,1636,1859,2293,0.6738369832836595,2.3886657163837413,10.228499848818625,19.208673491425856,32.3614530689819,40.38702431860395,46.42564036110751
slopeStrength,1pct,5,23150,20430,88.25053995680345,0.00014065347427685192,0.00022833685559760887,0.012728965742428681,271.82447381302006,73,256,352,708,40.75593952483801,52.95032397408207,70.84665226781858,79.60691144708424,84.02159827213823,86.21166306695464,88.25053995680345
slopeStrength,2pct,5,23150,17496,75.57667386609072,0.00014065347427685192,0.00022833685559760887,0.012728965742428681,553.3188728852309,277,696,861,1622,13.563714902807774,22.742980561555076,42.88984881209503,57.442764578833696,66.67386609071274,71.377969762419,75.57667386609072
slopeStrength,4pct,5,23150,13115,56.65226781857451,0.00014065347427685192,0.00022833685559760887,0.012728965742428681,890.2650400304994,658,1342,1538,2130,2.4233261339092875,5.766738660907127,17.23110151187905,30.617710583153347,43.74082073434125,51.32613390928725,56.65226781857451
accelerationExcess,1pct,1,23151,14497,62.619325299123155,-0.00013986326670294356,-0.00013400269407278642,-0.00012693546194177306,916.6149548182383,692,1479,1710.800000000001,2181.3999999999996,4.444732408967216,8.725325039955077,21.567102932918665,32.08068765928038,46.460196103840005,56.03213684074122,62.619325299123155
accelerationExcess,2pct,1,23151,9672,41.777892963586886,-0.00013986326670294356,-0.00013400269407278642,-0.00012693546194177306,1188.1851736972706,1028,1894,2087.8,2440,0.9330050537773746,2.2763595525031315,8.68644982938102,15.843808042849123,26.067988423826183,34.15835169107166,41.777892963586886
accelerationExcess,4pct,1,23151,5209,22.500107986696037,-0.00013986326670294356,-0.00013400269407278642,-0.00012693546194177306,1368.3914378959494,1307,2032,2170,2510,0.12526456740529565,0.4492246555224396,2.583041769254028,5.883115200207334,12.185218781046176,17.91715260679884,22.500107986696037
accelerationExcess,1pct,2,23151,16682,72.05736253293594,-0.00012693513337335034,-0.00011817371811897467,-0.00010726307115860754,662.7308476201895,374,995,1196,1827,8.902423221459117,16.059781434927217,35.35484428318431,48.114552287158226,60.977927519329626,68.02297956891711,72.05736253293594
accelerationExcess,2pct,2,23151,12461,53.82488877370308,-0.00012693513337335034,-0.00011817371811897467,-0.00010726307115860754,1015.3122542332076,796,1615,1810,2294,1.762342879357263,4.392898794868472,15.057664895684852,25.42870718327502,37.89901084186428,46.892142887996194,53.82488877370308
